stock_name,group,trading_symbol,instrument_key,ath,cp,prev_change_pct,today_change_pct,ema5,ema10,ema20,last_updated
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,NSE_EQ|INE00R701025,0.0,0,0,0,0,0,0,0
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,NSE_EQ|INE0IX101010,0.0,0,0,0,0,0,0,0
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,NSE_EQ|INE501A01019,0.0,0,0,0,0,0,0,0
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,NSE_EQ|INE288B01029,0.0,0,0,0,0,0,0,0
Delhivery Ltd.,Services,DELHIVERY,NSE_EQ|INE148O01028,0.0,0,0,0,0,0,0,0
Devyani International Ltd.,Consumer Services,DEVYANI,NSE_EQ|INE872J01023,0.0,0,0,0,0,0,0,0
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,NSE_EQ|INE361B01024,0.0,0,0,0,0,0,0,0
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,NSE_EQ|INE935N01020,0.0,0,0,0,0,0,0,0
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,NSE_EQ|INE943P01029,0.0,0,0,0,0,0,0,0
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,NSE_EQ|INE600L01024,0.0,0,0,0,0,0,0,0
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,NSE_EQ|INE089A01031,0.0,0,0,0,0,0,0,0
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,NSE_EQ|INE126A01031,0.0,0,0,0,0,0,0,0
EIH Ltd.,Consumer Services,EIHOTEL,NSE_EQ|INE230A01023,0.0,0,0,0,0,0,0,0
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,NSE_EQ|INE066A01021,0.0,0,0,0,0,0,0,0
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,NSE_EQ|INE205B01031,0.0,0,0,0,0,0,0,0
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,NSE_EQ|INE285A01027,0.0,0,0,0,0,0,0,0
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,NSE_EQ|INE548C01032,0.0,0,0,0,0,0,0,0
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,NSE_EQ|INE168P01015,0.0,0,0,0,0,0,0,0
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,NSE_EQ|INE913H01037,0.0,0,0,0,0,0,0,0
Engineers India Ltd.,Construction,ENGINERSIN,NSE_EQ|INE510A01028,0.0,0,0,0,0,0,0,0
Eris Lifesciences Ltd.,Healthcare,ERIS,NSE_EQ|INE406M01024,0.0,0,0,0,0,0,0,0
Escorts Kubota Ltd.,Capital Goods,ESCORTS,NSE_EQ|INE042A01014,0.0,0,0,0,0,0,0,0
Eternal Ltd.,Consumer Services,ETERNAL,NSE_EQ|INE758T01015,0.0,0,0,0,0,0,0,0
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,NSE_EQ|INE302A01020,0.0,0,0,0,0,0,0,0
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,NSE_EQ|INE388Y01029,0.0,0,0,0,0,0,0,0
Federal Bank Ltd.,Financial Services,FEDERALBNK,NSE_EQ|INE171A01029,0.0,0,0,0,0,0,0,0
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,NSE_EQ|INE188A01015,0.0,0,0,0,0,0,0,0
Finolex Cables Ltd.,Capital Goods,FINCABLES,NSE_EQ|INE235A01022,0.0,0,0,0,0,0,0,0
Finolex Industries Ltd.,Capital Goods,FINPIPE,NSE_EQ|INE183A01024,0.0,0,0,0,0,0,0,0
Firstsource Solutions Ltd.,Services,FSL,NSE_EQ|INE684F01012,0.0,0,0,0,0,0,0,0
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,NSE_EQ|INE128S01021,0.0,0,0,0,0,0,0,0
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,NSE_EQ|INE451A01017,0.0,0,0,0,0,0,0,0
Fortis Healthcare Ltd.,Healthcare,FORTIS,NSE_EQ|INE061F01013,0.0,0,0,0,0,0,0,0
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,NSE_EQ|INE129A01019,0.0,0,0,0,0,0,0,0
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,NSE_EQ|INE200A01026,0.0,0,0,0,0,0,0,0
GMR Airports Ltd.,Services,GMRAIRPORT,NSE_EQ|INE776C01039,0.0,0,0,0,0,0,0,0
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,NSE_EQ|INE382Z01011,0.0,0,0,0,0,0,0,0
General Insurance Corporation of India,Financial Services,GICRE,NSE_EQ|INE481Y01014,0.0,0,0,0,0,0,0,0
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,NSE_EQ|INE322A01010,0.0,0,0,0,0,0,0,0
Gland Pharma Ltd.,Healthcare,GLAND,NSE_EQ|INE068V01023,0.0,0,0,0,0,0,0,0
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,NSE_EQ|INE159A01016,0.0,0,0,0,0,0,0,0
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,NSE_EQ|INE935A01035,0.0,0,0,0,0,0,0,0
Global Health Ltd.,Healthcare,MEDANTA,NSE_EQ|INE474Q01031,0.0,0,0,0,0,0,0,0
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,NSE_EQ|INE03JT01014,0.0,0,0,0,0,0,0,0
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,NSE_EQ|INE177H01039,0.0,0,0,0,0,0,0,0
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,NSE_EQ|INE260B01028,0.0,0,0,0,0,0,0,0
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,NSE_EQ|INE850D01014,0.0,0,0,0,0,0,0,0
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,NSE_EQ|INE102D01028,0.0,0,0,0,0,0,0,0
Godrej Industries Ltd.,Diversified,GODREJIND,NSE_EQ|INE233A01035,0.0,0,0,0,0,0,0,0
Godrej Properties Ltd.,Realty,GODREJPROP,NSE_EQ|INE484J01027,0.0,0,0,0,0,0,0,0
Granules India Ltd.,Healthcare,GRANULES,NSE_EQ|INE101D01020,0.0,0,0,0,0,0,0,0
Graphite India Ltd.,Capital Goods,GRAPHITE,NSE_EQ|INE371A01025,0.0,0,0,0,0,0,0,0
Grasim Industries Ltd.,Construction Materials,GRASIM,NSE_EQ|INE047A01021,0.0,0,0,0,0,0,0,0
